,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,resolution_outcome
10,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4160810045,QUEENS,,,,Arverne,2019-03-29T11:04:36.000,14 QUEENS,Food Poisoning,2019-03-11T00:00:00.000,CORAL REEF WAY,SCHOONER STREET,1 or 2,2019-03-25T11:27:36.000,N/A,70-20 ROCKAWAY BEACH BOULEVARD,11692,,,40.58956376846801,"{'type': 'Point', 'coordinates': [-73.799675886309, 40.589563768468]}",Other (Explain Below),-73.79967588630932,PHONE,QUEENS,Unspecified,2019-03-29T11:04:30.000,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,Closed,ROCKAWAY BEACH BOULEVARD,,,41924724,1039888,154134,1
11,ADDRESS,DOHMH,Department of Health and Mental Hygiene,5050280026,STATEN ISLAND,,,,STATEN ISLAND,2019-03-26T00:00:00.000,03 STATEN ISLAND,Unsanitary Animal Pvt Property,2019-03-11T00:00:00.000,THOLLEN STREET,BEND,Cat,2019-04-10T13:19:23.000,N/A,8 THAYER PLACE,10306,,,40.55514738099095,"{'type': 'Point', 'coordinates': [-74.131332165196, 40.555147380991]}",1-2 Family Dwelling,-74.13133216519633,UNKNOWN,STATEN ISLAND,Unspecified,2019-03-25T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,THAYER PLACE,,,41929367,947755,141559,0
12,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2050960017,BRONX,,,,BRONX,2019-03-25T13:32:34.000,12 BRONX,Rodent,2019-03-11T00:00:00.000,NEREID AVENUE,CAMP STREET,Rat Sighting,2019-04-10T09:54:09.000,N/A,4430 WILDER AVENUE,10466,,,40.900493015155305,"{'type': 'Point', 'coordinates': [-73.844776639164, 40.900493015155]}",3+ Family Apt. Building,-73.84477663916418,PHONE,BRONX,Unspecified,2019-03-25T13:32:34.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WILDER AVENUE,,,41929308,1027161,267390,0
13,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3008460052,BROOKLYN,,,,BROOKLYN,2019-03-22T00:00:00.000,07 BROOKLYN,Rodent,2019-03-11T00:00:00.000,GOWANUS EXPWY EB EN BELT PKWY,4 AVENUE,Condition Attracting Rodents,2019-04-10T18:22:46.000,N/A,353 58 STREET,11220,,,40.642527561792,"{'type': 'Point', 'coordinates': [-74.018121225531, 40.642527561792]}",3+ Family Apt. Building,-74.01812122553119,PHONE,BROOKLYN,Unspecified,2019-03-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,58 STREET,,,41936144,979221,173367,0
14,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1010570058,MANHATTAN,,,,NEW YORK,2019-03-22T00:00:00.000,04 MANHATTAN,Rodent,2019-03-11T00:00:00.000,9 AVENUE,10 AVENUE,Condition Attracting Rodents,2019-04-10T10:04:09.000,N/A,448 WEST   48 STREET,10036,,,40.762817979552544,"{'type': 'Point', 'coordinates': [-73.991267764544, 40.762817979553]}",Other (Explain Below),-73.99126776454408,PHONE,MANHATTAN,Unspecified,2019-03-22T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST   48 STREET,,,41934592,986669,217192,0
15,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,2019-03-21T00:00:00.000,Unspecified BROOKLYN,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T18:25:32.000,N/A,1070A DEKALB AVENUE,11221,,,40.69338323896802,"{'type': 'Point', 'coordinates': [-73.931823177924, 40.693383238968]}",Vacant Building,-73.93182317792437,MOBILE,BROOKLYN,Unspecified,2019-03-21T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,DEKALB AVENUE,,,41933914,1003156,191902,0
16,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3015797501,BROOKLYN,,,,BROOKLYN,2019-03-21T00:00:00.000,03 BROOKLYN,Rodent,2019-03-11T00:00:00.000,MARCUS GARVEY BOULEVARD,BROADWAY,Rat Sighting,2019-04-10T15:34:12.000,N/A,869 PARK AVENUE,11206,,,40.69863328113299,"{'type': 'Point', 'coordinates': [-73.940455086951, 40.698633281133]}",3+ Family Apt. Building,-73.94045508695122,PHONE,BROOKLYN,Unspecified,2019-03-21T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,PARK AVENUE,,,41933887,1000761,193813,0
17,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4038800067,QUEENS,,,,Ridgewood,2019-03-21T00:00:00.000,06 QUEENS,Rodent,2019-03-11T00:00:00.000,MARGARET PLACE,LONG ISLAND RAILROAD,Rat Sighting,2019-04-10T19:45:56.000,N/A,90-16 UNION TURNPIKE,11385,,,40.70617606007303,"{'type': 'Point', 'coordinates': [-73.856579691764, 40.706176060073]}",1-2 Family Dwelling,-73.85657969176388,PHONE,QUEENS,Unspecified,2019-03-21T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,UNION TURNPIKE,,,41932293,1024014,196588,0
18,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3024960051,BROOKLYN,,,,BROOKLYN,2019-03-21T00:00:00.000,01 BROOKLYN,Rodent,2019-03-11T00:00:00.000,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,Condition Attracting Rodents,2019-04-10T11:18:37.000,N/A,167 EAGLE STREET,11222,,,40.735265587037,"{'type': 'Point', 'coordinates': [-73.954025873572, 40.735265587037]}",Construction Site,-73.95402587357151,PHONE,BROOKLYN,Unspecified,2019-03-21T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAGLE STREET,,,41925701,996991,207157,0
19,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-03-11T00:00:00.000,Unspecified BRONX,Rodent,2019-03-11T00:00:00.000,,,Condition Attracting Rodents,2019-04-10T17:54:20.000,N/A,2095 CRESTON AVENUE,10453,,,40.85432024659451,"{'type': 'Point', 'coordinates': [-73.903856624592, 40.854320246595]}",3+ Family Apt. Building,-73.9038566245924,MOBILE,BRONX,Unspecified,2019-03-11T17:57:21.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CRESTON AVENUE,,,41925697,1010847,250544,0
20,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-03-11T00:00:00.000,Unspecified BRONX,Rodent,2019-03-11T00:00:00.000,,,Mouse Sighting,2019-04-10T11:30:16.000,N/A,1117 MANOR AVENUE,10472,,,40.82687696232215,"{'type': 'Point', 'coordinates': [-73.876200091313, 40.826876962322]}",3+ Family Apt. Building,-73.87620009131263,MOBILE,BRONX,Unspecified,2019-03-11T11:33:57.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MANOR AVENUE,,,41925669,1018512,240555,0
21,INTERSECTION,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-03-13T14:41:18.000,05 BRONX,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T01:01:32.000,N/A,,10457,VALENTINE AVENUE,EAST 180 STREET,40.85252194294567,"{'type': 'Point', 'coordinates': [-73.90001315753901, 40.852521942946]}",3+ Family Apt. Building,-73.900013157539,PHONE,BRONX,Unspecified,2019-03-13T14:41:18.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,,,,41921120,1011911,249890,0
22,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3039810010,BROOKLYN,,,,BROOKLYN,,05 BROOKLYN,Rodent,2019-03-11T00:00:00.000,BARBEY STREET,JEROME STREET,Mouse Sighting,2019-04-10T12:42:10.000,N/A,586 LIBERTY AVENUE,11207,,,40.67564520507314,"{'type': 'Point', 'coordinates': [-73.888064132941, 40.675645205073]}",3+ Family Apt. Building,-73.88806413294066,PHONE,BROOKLYN,Unspecified,2019-03-11T12:50:27.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Assigned,LIBERTY AVENUE,,,41924703,1015299,185452,0
23,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4034640013,QUEENS,,,,Ridgewood,2019-03-18T10:32:56.000,05 QUEENS,Rodent,2019-03-11T00:00:00.000,MYRTLE AVENUE,SENECA AVENUE,Rat Sighting,2019-04-10T11:58:47.000,N/A,56-15 CATALPA AVENUE,11385,,,40.70039333960178,"{'type': 'Point', 'coordinates': [-73.904713350423, 40.700393339602]}",3+ Family Mixed Use Building,-73.90471335042274,PHONE,QUEENS,Unspecified,2019-03-18T10:32:56.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,CATALPA AVENUE,,,41924779,1010671,194463,0
24,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3052900010,BROOKLYN,,,,BROOKLYN,,12 BROOKLYN,Rodent,2019-03-11T00:00:00.000,FT HAMILTON PARKWAY,12 AVENUE,Rat Sighting,2019-04-10T14:31:09.000,N/A,1149 39 STREET,11218,,,40.642575171862845,"{'type': 'Point', 'coordinates': [-73.989503446533, 40.642575171863]}",3+ Family Apt. Building,-73.98950344653274,PHONE,BROOKLYN,Unspecified,2019-03-11T14:40:28.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Assigned,39 STREET,,,41924854,987163,173384,0
25,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-03-11T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T13:17:50.000,N/A,418 EAST 78 STREET,10075,,,40.77102618995334,"{'type': 'Point', 'coordinates': [-73.952297125473, 40.771026189953]}",3+ Family Apt. Building,-73.95229712547349,MOBILE,MANHATTAN,Unspecified,2019-03-11T13:23:09.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 78 STREET,,,41924917,997463,220186,0
26,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3017540020,BROOKLYN,,,,BROOKLYN,2019-03-20T00:00:00.000,03 BROOKLYN,Rodent,2019-03-11T00:00:00.000,NOSTRAND AVENUE,MARCY AVENUE,Rat Sighting,2019-04-10T14:06:08.000,N/A,778 MYRTLE AVENUE,11206,,,40.69507861071038,"{'type': 'Point', 'coordinates': [-73.951760050061, 40.69507861071]}",Vacant Lot,-73.95176005006068,ONLINE,BROOKLYN,Unspecified,2019-03-20T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,MYRTLE AVENUE,,,41924981,997627,192516,0
27,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-03-11T00:00:00.000,Unspecified BRONX,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T19:35:33.000,N/A,967 KELLY STREET,10459,,,40.82185190754819,"{'type': 'Point', 'coordinates': [-73.896200494768, 40.821851907548]}",3+ Family Apt. Building,-73.89620049476844,MOBILE,BRONX,Unspecified,2019-03-11T19:38:39.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,KELLY STREET,,,41925556,1012979,238717,0
28,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3047470035,BROOKLYN,,,,BROOKLYN,2019-03-12T00:00:00.000,17 BROOKLYN,Rodent,2019-03-11T00:00:00.000,BEND,AVENUE B,Condition Attracting Rodents,2019-04-10T12:36:24.000,N/A,115 EAST   87 STREET,11236,,,40.649269663701865,"{'type': 'Point', 'coordinates': [-73.919799427149, 40.649269663702]}",1-2 Family Dwelling,-73.91979942714887,PHONE,BROOKLYN,Unspecified,2019-03-12T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   87 STREET,,,41925628,1006505,175833,0
29,ADDRESS,DOHMH,Department of Health and Mental Hygiene,3052120056,BROOKLYN,,,,BROOKLYN,2019-03-11T00:00:00.000,17 BROOKLYN,Rodent,2019-03-11T00:00:00.000,NEWKIRK AVENUE,FOSTER AVENUE,Rat Sighting,2019-04-10T13:49:48.000,N/A,466 EAST   26 STREET,11226,,,40.63911004006173,"{'type': 'Point', 'coordinates': [-73.95222208104, 40.639110040062]}",3+ Family Mixed Use Building,-73.95222208103989,PHONE,BROOKLYN,Unspecified,2019-03-11T13:54:03.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST   26 STREET,,,41925677,997510,172125,0
30,ADDRESS,DOHMH,Department of Health and Mental Hygiene,4011730080,QUEENS,,,,East Elmhurst,2019-03-14T00:00:00.000,03 QUEENS,Rodent,2019-03-11T00:00:00.000,32 AVENUE,NORTHERN BOULEVARD,Rat Sighting,2019-04-10T12:44:10.000,N/A,32-03 77 STREET,11370,,,40.756919813778396,"{'type': 'Point', 'coordinates': [-73.890342334988, 40.756919813778]}",1-2 Family Dwelling,-73.89034233498796,PHONE,QUEENS,Unspecified,2019-03-14T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,77 STREET,,,41926234,1014630,215062,0
31,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BROOKLYN,,,,BROOKLYN,,Unspecified BROOKLYN,Rodent,2019-03-11T00:00:00.000,,,Mouse Sighting,2019-04-10T17:03:25.000,N/A,1820 AVENUE N,11230,,,40.615882406144294,"{'type': 'Point', 'coordinates': [-73.956042320863, 40.615882406144]}",3+ Family Apt. Building,-73.9560423208635,MOBILE,BROOKLYN,Unspecified,2019-03-11T17:08:44.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Assigned,AVENUE N,,,41926271,996454,163662,0
32,LATLONG,DOHMH,Department of Health and Mental Hygiene,,BRONX,,,,BRONX,2019-03-13T12:44:33.000,Unspecified BRONX,Rodent,2019-03-11T00:00:00.000,,,Condition Attracting Rodents,2019-04-10T04:02:18.000,N/A,377 EAST 199 STREET,10458,,,40.86764510632357,"{'type': 'Point', 'coordinates': [-73.885123290663, 40.867645106324]}",3+ Family Apt. Building,-73.8851232906635,MOBILE,BRONX,Unspecified,2019-03-13T12:44:33.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 199 STREET,,,41926285,1016023,255405,0
33,ADDRESS,DOHMH,Department of Health and Mental Hygiene,2030650035,BRONX,,,,BRONX,2019-03-15T00:00:00.000,06 BRONX,Rodent,2019-03-11T00:00:00.000,EAST 184 STREET,EAST 187 STREET,Condition Attracting Rodents,2019-04-10T14:47:32.000,N/A,2384 HOFFMAN STREET,10458,,,40.85555011487697,"{'type': 'Point', 'coordinates': [-73.888849442753, 40.855550114877]}",3+ Family Apt. Building,-73.88884944275259,PHONE,BRONX,Unspecified,2019-03-15T00:00:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,HOFFMAN STREET,,,41926376,1014998,250997,0
34,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-03-11T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T14:22:47.000,N/A,418 EAST 78 STREET,10075,,,40.77102618995334,"{'type': 'Point', 'coordinates': [-73.952297125473, 40.771026189953]}",Other (Explain Below),-73.95229712547349,MOBILE,MANHATTAN,Unspecified,2019-03-11T14:27:36.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,EAST 78 STREET,,,41926425,997463,220186,0
35,ADDRESS,DOHMH,Department of Health and Mental Hygiene,1019180020,MANHATTAN,,,,NEW YORK,2019-03-11T00:00:00.000,10 MANHATTAN,Rodent,2019-03-11T00:00:00.000,LENOX AVENUE,7 AVENUE,Rat Sighting,2019-04-10T16:19:39.000,N/A,123 WEST  133 STREET,10030,,,40.813296273094984,"{'type': 'Point', 'coordinates': [-73.942924665061, 40.813296273095]}",3+ Family Mixed Use Building,-73.94292466506113,PHONE,MANHATTAN,Unspecified,2019-03-11T16:32:01.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST  133 STREET,,,41926661,1000049,235588,0
36,LATLONG,DOHMH,Department of Health and Mental Hygiene,,MANHATTAN,,,,NEW YORK,2019-03-11T00:00:00.000,Unspecified MANHATTAN,Rodent,2019-03-11T00:00:00.000,,,Rat Sighting,2019-04-10T23:44:48.000,N/A,517 WEST 147 STREET,10031,,,40.8271483171057,"{'type': 'Point', 'coordinates': [-73.947545090399, 40.827148317106]}",3+ Family Apt. Building,-73.94754509039944,MOBILE,MANHATTAN,Unspecified,2019-03-11T23:48:00.000,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,,Closed,WEST 147 STREET,,,41927052,998767,240634,0
